GEOID,NAME,variable,estimate,moe
13115,"Floyd County, Georgia",B19013_001,48336,2266
13117,"Forsyth County, Georgia",B19013_001,107218,2004
13119,"Franklin County, Georgia",B19013_001,42488,3257
13121,"Fulton County, Georgia",B19013_001,69673,1081
13123,"Gilmer County, Georgia",B19013_001,52625,4283
13125,"Glascock County, Georgia",B19013_001,45000,7156
13127,"Glynn County, Georgia",B19013_001,52977,2459
13129,"Gordon County, Georgia",B19013_001,45865,2150
13131,"Grady County, Georgia",B19013_001,43531,4548
13133,"Greene County, Georgia",B19013_001,52129,4073
13135,"Gwinnett County, Georgia",B19013_001,71026,1017
13137,"Habersham County, Georgia",B19013_001,50563,2276
13139,"Hall County, Georgia",B19013_001,62984,1831
13141,"Hancock County, Georgia",B19013_001,31860,2378
13143,"Haralson County, Georgia",B19013_001,48550,4212
13145,"Harris County, Georgia",B19013_001,76319,5049
13147,"Hart County, Georgia",B19013_001,43204,2514
13149,"Heard County, Georgia",B19013_001,51358,3536
13151,"Henry County, Georgia",B19013_001,71288,1649
13153,"Houston County, Georgia",B19013_001,61723,2537
13155,"Irwin County, Georgia",B19013_001,37736,7649
13157,"Jackson County, Georgia",B19013_001,65385,2706
13159,"Jasper County, Georgia",B19013_001,51250,7211
13161,"Jeff Davis County, Georgia",B19013_001,36669,3668
13163,"Jefferson County, Georgia",B19013_001,33944,2620
13165,"Jenkins County, Georgia",B19013_001,27375,2529
13167,"Johnson County, Georgia",B19013_001,42446,4985
13169,"Jones County, Georgia",B19013_001,56020,3230
13171,"Lamar County, Georgia",B19013_001,44846,6588
13173,"Lanier County, Georgia",B19013_001,40986,6392
13175,"Laurens County, Georgia",B19013_001,39120,1833
13177,"Lee County, Georgia",B19013_001,69280,6985
13179,"Liberty County, Georgia",B19013_001,48007,3067
13181,"Lincoln County, Georgia",B19013_001,39742,4279
13183,"Long County, Georgia",B19013_001,54605,4160
13185,"Lowndes County, Georgia",B19013_001,42441,1964
13187,"Lumpkin County, Georgia",B19013_001,51790,3919
13189,"McDuffie County, Georgia",B19013_001,43468,4574
13191,"McIntosh County, Georgia",B19013_001,49504,7904
13193,"Macon County, Georgia",B19013_001,32161,5193
13195,"Madison County, Georgia",B19013_001,52500,3574
13197,"Marion County, Georgia",B19013_001,44643,6516
13199,"Meriwether County, Georgia",B19013_001,37121,2313
13201,"Miller County, Georgia",B19013_001,44542,9052
13205,"Mitchell County, Georgia",B19013_001,38116,3416
13207,"Monroe County, Georgia",B19013_001,54754,3038
13209,"Montgomery County, Georgia",B19013_001,41996,4332
13211,"Morgan County, Georgia",B19013_001,66178,4337
13213,"Murray County, Georgia",B19013_001,48033,3177
13215,"Muscogee County, Georgia",B19013_001,46408,1150
13217,"Newton County, Georgia",B19013_001,56316,2625
13219,"Oconee County, Georgia",B19013_001,90751,5299
13221,"Oglethorpe County, Georgia",B19013_001,47120,2998
13223,"Paulding County, Georgia",B19013_001,68370,2258
13225,"Peach County, Georgia",B19013_001,46636,4174
13227,"Pickens County, Georgia",B19013_001,67631,3328
13229,"Pierce County, Georgia",B19013_001,42804,5914
13231,"Pike County, Georgia",B19013_001,64878,4642
13233,"Polk County, Georgia",B19013_001,44891,4327
13235,"Pulaski County, Georgia",B19013_001,45148,5861
13237,"Putnam County, Georgia",B19013_001,51606,4410
13239,"Quitman County, Georgia",B19013_001,26667,9166
13241,"Rabun County, Georgia",B19013_001,42500,2846
13243,"Randolph County, Georgia",B19013_001,31699,2890
13245,"Richmond County, Georgia",B19013_001,42728,1271
13247,"Rockdale County, Georgia",B19013_001,60189,2499
13249,"Schley County, Georgia",B19013_001,44448,5070
13251,"Screven County, Georgia",B19013_001,39842,4647
13253,"Seminole County, Georgia",B19013_001,33357,3366
13255,"Spalding County, Georgia",B19013_001,47111,2588
13257,"Stephens County, Georgia",B19013_001,47164,4740
